SITE_NAME,SITE_ABBR,RVHA,MSW,LENGTH,WMJT_PRED,CM_AREA_KM,ELEVMEAN,WQ_TYPE,pH,SpCond,TDS,Alk,Acid,SO4,Al,Cd,Cr,Fe,Mn,Ni,Ca,Mg,AMNA_N,AMRU_N,CAAN_N,CACO_N,CLFU_N,COBA_N,ETBL_N,ETFL_N,ETNI_N,ETVA_N,ETZO_N,HYBRID_N,HYNI_N,LECY_N,LEGI_N,LEMA_N,LUCH_N,MAMA_N,MIDO_N,MIPU_N,MISA_N,MODU_N,NOAR_N,NOBU_N,NOMI_N,NOPH_N,NORU_N,NOVO_N,ONMY_N,PECA_N,PEMA_N,PHOR_N,PINO_N,RHAT_N,RHCA_N,SAFO_N,SATR_N,SEAT_N,TOTALS,RICH,IBISCORE,IBI_CATEGORY
Middle Fork (Cassity),MFKR,157,12,300,20.6,106.4,694.7,T,7.28,166,0.108,9.47,6.34,7.31,0,0,0,0.029,0,0,4.56,0.85,0,15,3,1,0,143,0,14,0,0,0,0,24,0,0,0,0,0,54,0,0,0,0,0,207,0,0,0,0,0,0,0,0,31,160,0,2,10,664,11,79.9,G
Jones Run,JORN,125,4,160,18.6,6.3,624.2,R,7.27,102,0.067,15.78,7.65,5.76,0,0,0,0.032,0,0,5.27,1.3,0,1,11,29,11,143,0,3,0,0,0,0,0,15,0,0,20,0,7,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,268,513,12,77.7,G
Left Fork Buckhannon River,LFBR,162,12,300,21.1,96.3,577.6,T,7.06,34,0.022,3.75,0,7.13,0,0,0.0026,0.04,0.035,0,2.56,1.18,0,11,0,1,0,104,1,2,0,0,0,0,13,17,0,3,0,0,11,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,46,0,0,16,443,10,86.6,E
Gandy Creek (Upper),GCUP,173,10,300,19.1,68.1,991.3,R,7.82,51,0.033,17.7,0,8,0.09,0.0025,3.00E-04,0.14,0.018,0.003,5.28,0.888,0,0,30,18,38,400,1,0,0,0,0,1,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,195,14,12,3,957,11,54.4,P
Swallow Rock Run,SWLW,166,3,120,15.2,5.7,1056.4,R,7.7,33,0.021,18.7,0,10.5,0.07,0.0031,0.0011,0.05,0.02,0,1.876,1.0968,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,216,2,63.3,F
West Fork Glady Fork,WFGF,159,5,200,14.7,8.1,978.1,T,7.79,55,0.036,16.31,8.18,9.23,0,0.013,0,0.054,0,0.025,6.32,0.81,0,0,0,11,32,93,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,9,0,29,219,8,58.8,F
Right Fork Buckhannon (Mouth),RFBR,131,15,300,21.2,118.7,609.1,T,6.75,40,0.026,6.13,0,10.4,0,0,0.0031,0.011,0.0056,0,2.44,0.83,0,31,0,1,0,248,0,10,0,0,0,0,54,1,0,0,0,0,10,0,0,0,0,0,195,61,0,0,4,0,0,0,2,10,59,1,2,13,702,11,78.8,G
Shavers Run,SHRN,144,5,200,18.3,20,697.7,T,6.13,53,0.034,13.99,0,7.27,0,0,0.0029,0,0,0,6.01,1.27,0,0,138,5,88,260,0,44,0,0,0,0,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,52,0,0,98,883,10,97.7,E
Five Lick Run,FVLK,166,4,160,16.9,10.4,998.9,R,7.9,166,0.108,72.73,0,6.28,0,0,0.002,0.014,0.0057,0.0044,28.22,1.76,0,0,0,25,80,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,2,7,0,62,451,7,71,F
Left Fork River,LFKR,149,8,300,19.9,47.7,647.7,T,7.27,127,0.082,13.73,7.31,9.25,0.023,0.21,0,0.047,0.031,0.0038,2.91,0.78,0,2,0,1,0,113,0,6,0,0,0,0,11,8,0,0,0,0,5,0,0,0,0,0,115,27,0,0,3,0,0,0,0,43,41,0,0,42,417,12,81,G
Birch Fork,BCFK,148,5,200,17.4,10.3,844.3,R,6.77,39,0.026,4.86,0,5.77,0,0,0.0024,0,0,0,3.14,0.92,0,0,0,13,5,294,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,23,98,0,11,772,8,71,F
Trout Run,TRRN,140,4,160,17.2,5.8,741.1,T,6.99,115,0.075,4.32,5.76,5.3,0,0,0,0.027,0,0,2.23,0.77,0,0,0,0,0,150,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,6,86,0,4,368,6,85.5,E
Right Fork Buckhannon (Upper),RFBU,159,10,300,19.1,28,772.9,T,6.96,122,0.079,11.32,5.75,5.53,0,0,0,0.041,0,0,5.12,0.89,0,0,15,35,0,134,0,36,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,32,4,3,113,708,10,68.8,F
Mill Creek (Kumbrabow),MCKM,179,6,240,18.2,26.1,916.2,T,7,95,0.062,7.65,8.27,6.06,0,0,0,0.016,0,0,3.35,0.7,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,73,0,0,180,3,68.8,F
Beckys Creek,BKCR,148,6,240,22.8,27.1,643.3,R,7.66,143,0.093,26.96,7.52,9.1,0,0.2,0,0.023,0,0,9.4,1.37,0,4,170,1,96,296,0,44,0,0,0,0,52,1,0,1,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,20,0,0,107,856,14,94.4,E
Elkwater Fork,EWFK,132,6,240,19.2,34.9,758.7,R,7.79,142,0.093,27.65,7.21,12,0.051,0,0,0.048,0,0,10.08,1.5,0,19,30,10,7,196,0,41,0,0,0,0,11,2,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,9,0,1,21,411,15,83.3,E
Conley Run,CNRN,134,4,160,17.6,11.4,766,R,7.55,97,0.063,35.81,0,6.93,0,0,0.0024,0,0,0,15.8,1.74,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,24,1,0,14,821,5,53.3,P
Tygart River at Valley Head,TRVH,148,10,300,20,100.8,801.5,R,7.75,179,0.116,44.48,7,9.82,0,0.21,0,0.021,0,0,15.64,1.5,0,3,169,26,33,487,0,59,0,0,0,0,96,2,0,0,7,0,126,0,0,0,0,0,1,0,0,0,0,0,0,0,45,126,357,1,0,28,1566,14,92.1,E
Windy Run,WIRN,142,4,160,18.7,17.3,734.6,R,7.51,99,0.065,38.67,0,10.2,0,0,0.0024,0.005,0,0,17.2,1.7,0,0,81,0,69,216,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,217,2,1,2,772,11,74.4,G
Shavers Fork at Ryans Bend,SHRB,152,12,300,17.6,44.2,1223.5,T,7.58,87,0.057,21.03,7.19,4.52,0.071,0.0029,0,0.095,0.0432,0,8.86,1.17,0,0,98,116,200,130,0,104,0,0,0,8,79,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,8,0,0,104,0,146,104,11,2,55,1261,14,82.1,E
Little Odey Run,LORN,167,3,150,13.3,1.3,1313.1,T,5.72,24,0.008,2.21,4.56,6.01,0.1,0,0.0016,0.016,0.027,0.0045,2.26,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,1,66.6,F
Second Fork Upper,SFUP,185,3,150,15.2,5.7,1310.1,S,4.25,31,0.02,0,9.14,5.99,0.24,0,0.002,0.062,0.038,0.0064,0.98,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,56.6,F
