StationID,Ambloplitescavifrons,Ambloplitesrupestris,Ameiurusnatalis,Ameiurusnebulosus,Ameiurusplatycephalus,Amiacalva,Anguillarostrata,Aphredoderussayanus,Campostomaanomalum,Campostomaoligolepis,Catostomuscommersonii,Chrosomusoreas,Clinostomusfunduloides,Cottusbaileyi,Cottusbairdii,Cottuscaeruleomentum,Cottuscarolinae,Cottusgirardi,Cottuskanawhae,Cottussp_4,Cottussp_5,Cyprinellaanalostana,Cyprinellagalactura,Cyprinellaspiloptera,Cyprinuscarpio,Dorosomacepedianum,Erimystaxdissimilis,Erimyzonoblongus,Esoxniger,Etheostomablennioides,Etheostomacaeruleum,Etheostomacamurum,Etheostomachlorobranchium,Etheostomakanawhae,Etheostomalongimanum,Etheostomanigrum,Etheostomaosburni,Etheostomapodostemone,Etheostomarufilineatum,Etheostomasimoterum,Etheostomaswannanoa,Etheostomatenneseense,Etheostomavitreum,Etheostomavulneratum,Etheostomazonale,Etheostomabrevispinum,Etheostomaflabellare,Etheostomameadiae,Etheostomaolmstedi,Exoglossumlaurae,Exoglossummaxillingua,Funduluscatenatus,Fundulusrathbuni,Gambusiaholbrooki,Hybognathusregius,Hybopsisamblops,Hypenteliumroanokense,Hypenteliumnigricans,Ichthyomyzonbdellium,Lampetraaepyptera,Lepisosteusosseus,Lepomisauritus,Lepomiscyanellus,Lepomisgibbosus,Lepomisgulosus,Lepomismacrochirus,Lepomismegalotis,Lepomismicrolophus,Lethenteronappendix,Luxilusalbeolus,Luxiluscerasinus,Luxiluschrysocephalus,Luxiluscoccogenis,Luxiluscornutus,Lythrurusardens,Micropteruspunctulatus,Micropterusdolomieu,Micropterussalmoides,Moxostomaariommum,Moxostomabreviceps,Moxostomacarinatum,Moxostomacervinum,Moxostomaduquesnei,Moxostomaerythrurum,Moxostomamacrolepidotum,Moxostomapappillosum,Moxostomacollapsum,Moxostomahamiltoni,Moxostomarhothoeca,Nocomisleptocephalus,Nocomismicropogon,Nocomisplatyrhynchus,Nocomisraneyi,Notemigonuscrysoleucas,Notropisamoenus,Notropisariommus,Notropischiliticus,Notropishudsonius,Notropisleuciodus,Notropismicropteryx,Notropisphotogenis,Notropisprocne,Notropisrubellus,Notropisrubricroceus,Notropissemperasper,Notropisspectrunculus,Notropistelescopus,Notropisvolucellus,Noturusgilberti,Noturusinsignis,Oncorhynchusmykiss,Percinacaprodes,Percinaevides,Percinagymnocephala,Percinanevisense,Percinanotogramma,Percinapeltata,Percinarex,Percinaroanoka,Petromyzonmarinus,Phenacobiusteretulus,Pimephalesnotatus,Pylodictisolivaris,Rhinichthysatratulus,Rhinichthysobtusus,Rhinichthyscataractae,Salmotrutta,Salvelinusfontinalis,Semotilusatromaculatus,Semotiluscorporalis
2-CRG047.95,0,55,0,0,0,0,0,0,114,0,0,0,0,0,0,82,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,38,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,44,9,0,10,0,0,0,0,38,0,1,0,0,0,0,3,24,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,34,8,0,2,0,0,0,0,0,3,0,0,36,0,0,21,0,0,0,2,0,0,0,2
2-CRG074.32,0,10,0,0,0,0,0,0,0,0,1,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
2-DCK003.94,0,0,0,0,0,0,0,0,0,0,1,14,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
2-DCK003.94,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
2-DCK003.94,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0
2-DCK003.94,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
2-DDY000.75,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
2-DDY000.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,11,1,0
2DFSP000.30,0,0,0,0,0,0,0,18,8,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,2,0,0,0,28,4,0,0,1,0,0,0,0,0,0,0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0
2-HAM000.37,0,0,0,0,0,0,0,0,7,0,0,63,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0
